# Distance(km)    Depth(km)    Pressure(bar)    Vs(km/s)
1096.278320    100.000000    33877.424000    4.327930
1140.528479    100.000000    33877.424000    4.306560
1184.778531    100.000000    33877.424000    4.282530
1229.028520    100.000000    33877.424000    4.243470
1273.278491    100.000000    33877.424000    4.235810
1317.528487    100.000000    33877.424000    4.245140
1361.778553    100.000000    33877.424000    4.258540
1406.028733    100.000000    33877.424000    4.258870
1454.120281    100.000000    33877.424000    4.277980
1498.353139    100.000000    33877.424000    4.228310
1542.585877    100.000000    33877.424000    4.203730
1586.818542    100.000000    33877.424000    4.213940
1631.051181    100.000000    33877.424000    4.240470
1675.283842    100.000000    33877.424000    4.280650
1719.516573    100.000000    33877.424000    4.333450
1763.749420    100.000000    33877.424000    4.386250
1767.605696    100.000000    33877.424000    4.374890
1811.819174    100.000000    33877.424000    4.404540
1856.032495    100.000000    33877.424000    4.414540
1900.245710    100.000000    33877.424000    4.428900
1944.458870    100.000000    33877.424000    4.437920
1988.672027    100.000000    33877.424000    4.447650
2032.885231    100.000000    33877.424000    4.466190
2077.098534    100.000000    33877.424000    4.495350
2121.311988    100.000000    33877.424000    4.536290
2125.152738    100.000000    33877.424000    4.515170
2169.344426    100.000000    33877.424000    4.560020
2213.536001    100.000000    33877.424000    4.598700
2257.727519    100.000000    33877.424000    4.616290
2301.919035    100.000000    33877.424000    4.616780
2346.110604    100.000000    33877.424000    4.595350
2390.302282    100.000000    33877.424000    4.577320
2434.494123    100.000000    33877.424000    4.570310
2394.158800    100.000000    33877.424000    4.567810
2438.326779    100.000000    33877.424000    4.570210
2482.494609    100.000000    33877.424000    4.569860
2526.662351    100.000000    33877.424000    4.565130
2570.830065    100.000000    33877.424000    4.562400
2614.997811    100.000000    33877.424000    4.582470
2659.165648    100.000000    33877.424000    4.614940
2663.027537    100.000000    33877.424000    4.568150
22.144511    10.000000    2861.600000    nan
66.433551    10.000000    2861.600000    nan
110.722646    10.000000    2861.600000    nan
155.011833    10.000000    2861.600000    nan
199.301148    10.000000    2861.600000    nan
247.434266    10.000000    2861.600000    nan
291.712722    10.000000    2861.600000    nan
335.991046    10.000000    2861.600000    nan
380.269277    10.000000    2861.600000    nan
424.547455    10.000000    2861.600000    nan
468.825618    10.000000    2861.600000    nan
513.103805    10.000000    2861.600000    nan
557.382054    10.000000    2861.600000    nan
601.660404    10.000000    2861.600000    nan
645.938894    10.000000    2861.600000    nan
694.054920    10.000000    2861.600000    3.666120
738.320277    10.000000    2861.600000    3.586180
782.585522    10.000000    2861.600000    3.559770
826.850697    10.000000    2861.600000    3.478270
871.115844    10.000000    2861.600000    3.416510
915.381002    10.000000    2861.600000    3.416410
959.646214    10.000000    2861.600000    3.418760
1003.911520    10.000000    2861.600000    3.508260
1048.176963    10.000000    2861.600000    3.605950
1052.028010    10.000000    2861.600000    3.515780
1096.278320    10.000000    2861.600000    3.577560
1140.528479    10.000000    2861.600000    3.585060
1184.778531    10.000000    2861.600000    3.595930
1229.028520    10.000000    2861.600000    3.590040
1273.278491    10.000000    2861.600000    3.584880
1317.528487    10.000000    2861.600000    3.576420
1361.778553    10.000000    2861.600000    3.559190
1406.028733    10.000000    2861.600000    3.553160
1454.120281    10.000000    2861.600000    3.493670
1498.353139    10.000000    2861.600000    3.504360
1542.585877    10.000000    2861.600000    3.514600
1586.818542    10.000000    2861.600000    3.514040
1631.051181    10.000000    2861.600000    3.519590
1675.283842    10.000000    2861.600000    3.510880
1719.516573    10.000000    2861.600000    3.490370
1763.749420    10.000000    2861.600000    3.441380
1767.605696    10.000000    2861.600000    3.433060
1811.819174    10.000000    2861.600000    3.390170
1856.032495    10.000000    2861.600000    3.357530
1900.245710    10.000000    2861.600000    3.329010
1944.458870    10.000000    2861.600000    3.289800
1988.672027    10.000000    2861.600000    3.233820
2032.885231    10.000000    2861.600000    3.202370
2077.098534    10.000000    2861.600000    3.178320
2121.311988    10.000000    2861.600000    3.164550
2125.152738    10.000000    2861.600000    3.169110
2169.344426    10.000000    2861.600000    3.181070
2213.536001    10.000000    2861.600000    3.217370
2257.727519    10.000000    2861.600000    3.264710
2301.919035    10.000000    2861.600000    3.327290
2346.110604    10.000000    2861.600000    3.413780
2390.302282    10.000000    2861.600000    3.504830
2434.494123    10.000000    2861.600000    3.578670
2394.158800    10.000000    2861.600000    3.534390
2438.326779    10.000000    2861.600000    3.609400
2482.494609    10.000000    2861.600000    3.649780
2526.662351    10.000000    2861.600000    3.611970
2570.830065    10.000000    2861.600000    3.516610
2614.997811    10.000000    2861.600000    3.410340
2659.165648    10.000000    2861.600000    3.290280
2663.027537    10.000000    2861.600000    3.282690
22.144511    100.500000    34037.967600    nan
66.433551    100.500000    34037.967600    nan
110.722646    100.500000    34037.967600    nan
155.011833    100.500000    34037.967600    nan
199.301148    100.500000    34037.967600    nan
247.434266    100.500000    34037.967600    nan
291.712722    100.500000    34037.967600    nan
335.991046    100.500000    34037.967600    nan
380.269277    100.500000    34037.967600    nan
424.547455    100.500000    34037.967600    nan
468.825618    100.500000    34037.967600    nan
513.103805    100.500000    34037.967600    nan
557.382054    100.500000    34037.967600    nan
601.660404    100.500000    34037.967600    nan
645.938894    100.500000    34037.967600    nan
694.054920    100.500000    34037.967600    4.441480
738.320277    100.500000    34037.967600    4.468420
782.585522    100.500000    34037.967600    4.464630
826.850697    100.500000    34037.967600    4.473990
871.115844    100.500000    34037.967600    4.471560
915.381002    100.500000    34037.967600    4.463450
959.646214    100.500000    34037.967600    4.451060
1003.911520    100.500000    34037.967600    4.422690
1048.176963    100.500000    34037.967600    4.378680
1052.028010    100.500000    34037.967600    4.369930
1096.278320    100.500000    34037.967600    4.329930
1140.528479    100.500000    34037.967600    4.308620
1184.778531    100.500000    34037.967600    4.284520
1229.028520    100.500000    34037.967600    4.245760
1273.278491    100.500000    34037.967600    4.238310
1317.528487    100.500000    34037.967600    4.247790
1361.778553    100.500000    34037.967600    4.261230
1406.028733    100.500000    34037.967600    4.261690
1454.120281    100.500000    34037.967600    4.278470
1498.353139    100.500000    34037.967600    4.229200
1542.585877    100.500000    34037.967600    4.204880
1586.818542    100.500000    34037.967600    4.215100
